benchmark,suite,compiler,iteration,wall_s,time_wall_s,user_s,sys_s,rss_kb,object_bytes
matmul_i32,embench_style,RISCV,25,0.013979980,0.010000,0.000000,0.010000,60908,1392
matmul_i32,embench_style,RISCV,26,0.014903276,0.010000,0.010000,0.000000,60656,1392
matmul_i32,embench_style,RISCV,27,0.014574065,0.010000,0.000000,0.000000,60528,1392
matmul_i32,embench_style,RISCV,28,0.013893496,0.010000,0.010000,0.000000,60528,1392
matmul_i32,embench_style,RISCV,29,0.014272256,0.010000,0.010000,0.000000,60400,1392
bitmix_sha_style,embench_style,YSX,0,0.016037567,0.010000,0.000000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,1,0.017024470,0.010000,0.010000,0.000000,57856,1368
bitmix_sha_style,embench_style,YSX,2,0.016231579,0.010000,0.000000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,3,0.019052338,0.010000,0.000000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,4,0.021436446,0.010000,0.000000,0.000000,57472,1368
bitmix_sha_style,embench_style,YSX,5,0.024944275,0.020000,0.010000,0.010000,57984,1368
bitmix_sha_style,embench_style,YSX,6,0.021083721,0.010000,0.010000,0.000000,58112,1368
bitmix_sha_style,embench_style,YSX,7,0.019336724,0.010000,0.000000,0.000000,58496,1368
bitmix_sha_style,embench_style,YSX,8,0.017531522,0.010000,0.010000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,9,0.016600287,0.010000,0.000000,0.010000,57600,1368
bitmix_sha_style,embench_style,YSX,10,0.017745726,0.010000,0.010000,0.000000,57600,1368
bitmix_sha_style,embench_style,YSX,11,0.017687055,0.010000,0.000000,0.000000,58624,1368
bitmix_sha_style,embench_style,YSX,12,0.017142898,0.010000,0.000000,0.000000,57856,1368
bitmix_sha_style,embench_style,YSX,13,0.016458152,0.010000,0.000000,0.010000,59008,1368
bitmix_sha_style,embench_style,YSX,14,0.016557845,0.010000,0.010000,0.000000,57856,1368
bitmix_sha_style,embench_style,YSX,15,0.016121314,0.010000,0.000000,0.000000,58496,1368
bitmix_sha_style,embench_style,YSX,16,0.014956895,0.010000,0.010000,0.000000,57600,1368
bitmix_sha_style,embench_style,YSX,17,0.014021928,0.010000,0.010000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,18,0.013698434,0.010000,0.010000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,19,0.013570441,0.010000,0.010000,0.000000,57600,1368
bitmix_sha_style,embench_style,YSX,20,0.013325227,0.010000,0.010000,0.000000,57984,1368
bitmix_sha_style,embench_style,YSX,21,0.013907181,0.010000,0.010000,0.000000,57984,1368
